Serial No.,College Name,Company,Package,Job Roles,Headings
671,Karpagam Institute of Technology,No data found,No data found,No data found,No data found
672,Kongunadu College of Engineering and Technology - [KNCET],No data found,No data found,No data found,No data found
673,MBM Engineering College - [MBM],No data found,No data found,No data found,No data found
674,Mookambigai College of Engineering,No data found,No data found,No data found,No data found
675,Ponjesly College of Engineering - [PCE],No data found,No data found,No data found,No data found
676,Rajadhani Institute of Engineering and Technology - [RIET] Attinga,No data found,No data found,No data found,No data found
677,Ramachandra College of Engineering - [RCE],No data found,No data found,No data found,No data found
678,Roorkee Institute of Technology - [RIT],No data found,No data found,No data found,No data found
679,SCMS School of Engineering and Technology [SSET],No data found,No data found,No data found,No data found
680,SIES Graduate School of Technology - [SIES-GST],No data found,No data found,No data found,No data found
681,SKN Sinhgad Institute of Technology and Science -[SKNSITS] Lonavala,No data found,No data found,No data found,No data found
682,Sapthagiri NPS University,No data found,No data found,No data found,No data found
683,Saroj Institute of Technology and Management - [SITM],No data found,No data found,No data found,No data found
684,Sasurie College of Engineering - [SCE],No data found,No data found,No data found,No data found
685,Selvam College of Technology - [SCT],No data found,No data found,No data found,No data found
686,Shivalik College of Engineering - [SCE],No data found,No data found,No data found,No data found
687,Silver Oak College of Engineering and Technology - [SOCET],No data found,No data found,No data found,No data found
688,Sinhgad College of Engineering - [SCOE] Vadgaon Ambegaon,No data found,No data found,No data found,No data found
689,Sree Buddha College of Engineering Pattoor - [SBCE],No data found,No data found,No data found,No data found
690,Sree Narayana Gurukulam College of Engineering - [SNGCE],No data found,No data found,No data found,No data found
691,Sree Sastha Institute of Engineering and Technology,No data found,No data found,No data found,No data found
692,Sri Siddhartha Institute of Technology - [SSIT],No data found,No data found,No data found,No data found
693,Tamilnadu College of Engineering - [TNCE],No data found,No data found,No data found,No data found
694,Thangavelu Engineering College,No data found,No data found,No data found,No data found
695,Hyderabad Institute of Technology and Management - [HITAM],No data found,No data found,No data found,No data found
696,Vemu Institute of Technology - [VEMU],No data found,No data found,No data found,No data found
697,Kalaignar karunanidhi Institute of Technology - [KIT],No data found,No data found,No data found,No data found
698,Patel College of Science and Technology - [PCST],No data found,No data found,No data found,No data found
699,Career Point University - [CPU],No data found,No data found,No data found,No data found
700,Sri Sai University - [SSU],No data found,No data found,No data found,No data found
701,Sri Guru Granth Sahib World University - [SGGSWU],No data found,No data found,No data found,No data found
702,Sir Padampat Singhania University - [SPSU],Number of Recruiters Participated,100,No data found,"Batch, 2021-22"
702,Sir Padampat Singhania University - [SPSU],Highest CTC,INR 18 LPA,No data found,"Batch, 2021-22"
702,Sir Padampat Singhania University - [SPSU],Average CTC,INR 4.3 LPA,No data found,"Batch, 2021-22"
702,Sir Padampat Singhania University - [SPSU],Top Recruiters,"Amazon, Microsoft, IBM",No data found,"Batch, 2021-22"
703,Vinayaka Missions University - [VMU],No data found,No data found,No data found,No data found
